target_id	length	eff_length	est_counts	tpm
ENST00000415118	8	9	0	0
ENST00000448914	13	14	0	0
ENST00000434970	9	10	0	0
ENST00000390577	37	10.5	0	0
ENST00000437320	19	5	0	0
ENST00000450276	17	3	0	0
ENST00000390575	20	6	0	0
ENST00000454908	17	3	0	0
ENST00000430425	17	3	0	0
ENST00000390572	28	9	0	0
ENST00000390583	31	12	0	0
ENST00000454691	18	4	0	0
ENST00000439842	11	12	0	0
ENST00000390591	31	12	0	0
ENST00000604642	23	9	0	0
ENST00000603326	19	5	0	0
ENST00000604950	31	12	0	0
ENST00000603077	31	12	0	0
ENST00000605284	17	3	0	0
ENST00000604446	23	9	0	0
ENST00000603693	19	5	0	0
ENST00000603935	31	12	0	0
ENST00000604102	31	12	0	0
ENST00000604838	17	3	0	0
ENST00000451044	17	3	0	0
ENST00000390581	23	9	0	0
ENST00000390590	31	12	0	0
ENST00000390588	20	6	0	0
ENST00000390584	31	12	0	0
ENST00000452198	18	4	0	0
ENST00000414852	16	2	0	0
ENST00000390585	31	12	0	0
ENST00000390571	31	12	0	0
ENST00000390578	31	12	0	0
ENST00000390567	20	6	0	0
ENST00000431440	16	2	0	0
ENST00000390569	20	6	0	0
ENST00000390574	21	7	0	0
ENST00000390580	21	7	0	0
ENST00000431870	16	2	0	0
ENST00000390389	335	181.442	0	0
ENST00000390374	392	236.865	0	0
ENST00000390375	384	229.017	0	0
ENST00000390432	379	224.107	0	0
ENST00000390433	340	186.184	0	0
ENST00000390434	566	409.87	0	0
ENST00000390435	341	187.165	0	0
ENST00000390376	341	187.165	0	0
ENST00000390377	347	192.993	0	0
ENST00000390436	360	205.645	0	0
ENST00000390378	343	189.128	0	0
ENST00000612787	347	192.993	0	0
ENST00000614171	374	219.251	1	0.234787
ENST00000611462	368	213.425	0	0
ENST00000611787	392	236.865	0	0
ENST00000620569	409	253.609	0	0
ENST00000617347	406	250.646	0	0
ENST00000621184	411	255.583	0	0
ENST00000390437	445	289.249	0	0
ENST00000390438	469	313.039	0	0
ENST00000390442	399	243.77	0	0
ENST00000390453	343	189.128	0	0
ENST00000390454	403	247.696	0	0
ENST00000390443	561	404.89	0	0
ENST00000455382	421	265.427	0	0
ENST00000390387	391	235.877	0	0
ENST00000390357	373	218.306	0	0
ENST00000390381	652	495.846	0	0
ENST00000390439	410	254.596	0	0
ENST00000390399	387	231.994	0	0
ENST00000390400	364	209.51	0	0
ENST00000610416	1054	897.796	0	0
ENST00000379435	416	260.519	1	0.197595
ENST00000390353	401	245.721	0	0
ENST00000390455	537	380.89	1	0.13515
ENST00000547918	380	225.107	0	0
ENST00000390392	455	299.175	0	0
ENST00000390360	365	210.499	0	0
ENST00000390440	425	269.414	0	0
ENST00000390423	402	246.709	0	0
ENST00000390398	381	226.051	0	0
ENST00000617717	933	776.796	0	0
ENST00000612107	930	773.796	0	0
ENST00000390361	397	241.782	0	0
ENST00000390362	343	189.128	0	0
ENST00000390363	390	234.889	0	0
ENST00000390364	412	256.583	0	0
ENST00000422143	402	246.709	2	0.417313
ENST00000390444	329	175.72	0	0
ENST00000390445	484	327.959	0	0
ENST00000390446	440	284.277	0	0
ENST00000390456	341	187.165	0	0
ENST00000390457	425	269.414	0	0
ENST00000444775	1735	1578.8	0	0
ENST00000390458	469	313.039	0	0
ENST00000557168	337	183.332	0	0
ENST00000390343	468	312.039	0	0
ENST00000426402	544	387.89	0	0
ENST00000390340	463	307.085	0	0
ENST00000390345	688	531.796	0	0
ENST00000613175	2233	2076.8	0	0
ENST00000390344	552	395.89	0	0
ENST00000390348	465	309.039	0	0
ENST00000390341	512	355.908	0	0
ENST00000390346	537	380.89	0	0
ENST00000390367	364	209.51	0	0
ENST00000390463	356	201.716	0	0
ENST00000390467	317	164.278	0	0
ENST00000390461	349	194.925	0	0
ENST00000390466	331	177.614	0	0
ENST00000426318	395	239.806	0	0
ENST00000390464	353	198.816	0	0
ENST00000331828	367	212.446	0	0
ENST00000390469	520	363.89	1	0.141464
ENST00000390441	394	238.83	0	0
ENST00000390447	467	311.039	0	0
ENST00000390448	406	250.646	0	0
ENST00000390465	395	239.806	0	0
ENST00000535880	425	269.414	0	0
ENST00000390460	327	173.835	0	0
ENST00000390468	336	182.36	0	0
ENST00000390368	410	254.596	0	0
ENST00000390369	347	192.993	0	0
ENST00000454561	544	387.89	0	0
ENST00000390371	388	232.947	0	0
ENST00000390372	350	195.916	0	0
ENST00000617639	406	250.646	0	0
ENST00000390373	344	190.09	0	0
ENST00000390449	343	189.128	0	0
ENST00000390450	464	308.039	0	0
ENST00000390451	409	253.609	0	0
ENST00000390452	365	210.499	0	0
ENST00000621643	102	12.7455	0	0
ENST00000417977	447	291.234	0	0
ENST00000616518	421	265.427	0	0
ENST00000620773	347	192.993	0	0
ENST00000619103	344	190.09	0	0
ENST00000611520	428	272.373	0	0
ENST00000390393	552	395.89	0	0
ENST00000390394	413	257.558	0	0
ENST00000542354	392	236.865	0	0
ENST00000390396	347	192.993	0	0
ENST00000390397	381	226.051	0	0
ENST00000390424	348	193.955	0	0
ENST00000390425	519	362.89	0	0
ENST00000390426	395	239.806	0	0
ENST00000390427	352	197.866	0	0
ENST00000390428	404	248.696	0	0
ENST00000390429	337	183.332	0	0
ENST00000390430	473	317.023	0	0
ENST00000390431	338	184.268	0	0
ENST00000607853	1684	1527.8	0	0
ENST00000619390	1504	1347.8	0	0
ENST00000624103	939	782.796	0	0
ENST00000380383	960	803.796	0	0
ENST00000514827	947	790.796	0	0
ENST00000623183	1069	912.796	0	0
ENST00000623508	1033	876.796	0	0
ENST00000573400	939	782.796	0	0
ENST00000618719	692	535.796	0.898632	0.0863373
ENST00000629682	1576	1419.8	0	0
ENST00000620741	1738	1581.8	3.10681	0.101107
ENST00000627911	1363	1206.8	2.0019	0.0853934
ENST00000625994	573	416.87	0	0
ENST00000628872	564	407.87	0	0
ENST00000617651	1734	1577.8	0	0
ENST00000616376	1504	1347.8	0	0
ENST00000444197	1649	1492.8	0	0
ENST00000622521	1039	882.796	0	0
ENST00000424348	959	802.796	0	0
ENST00000624217	990	833.796	0	0
ENST00000356130	983	826.796	0	0
ENST00000623849	966	809.796	0	0
ENST00000624469	1107	950.796	0	0
ENST00000504970	935	778.796	0	0
ENST00000440231	985	828.796	0	0
ENST00000621991	1256	1099.8	0	0
ENST00000619816	677	520.822	0	0
ENST00000624470	979	822.796	0	0
ENST00000624482	978	821.796	0	0
ENST00000610808	1322	1165.8	0	0
ENST00000611873	1112	955.796	0	0
ENST00000615270	1295	1138.8	0	0
ENST00000435101	692	535.796	0.898632	0.0863373
ENST00000358097	1655	1498.8	0	0
ENST00000433992	1740	1583.8	11.7888	0.383165
ENST00000610593	1363	1206.8	11.2919	0.481669
ENST00000424775	573	416.87	0	0
ENST00000435688	564	407.87	0	0
ENST00000614967	1504	1347.8	0	0
ENST00000612115	1734	1577.8	0	0
ENST00000623991	1030	873.796	0	0
ENST00000623813	945	788.796	0	0
ENST00000623530	995	838.796	0	0
ENST00000624439	957	800.796	0	0
ENST00000439431	979	822.796	3	0.187692
ENST00000623286	975	818.796	0	0
ENST00000623216	975	818.796	0	0
ENST00000623930	945	788.796	0	0
ENST00000623618	945	788.796	0	0
ENST00000613379	1322	1165.8	0	0
ENST00000624801	1124	967.796	0	0
ENST00000408920	1124	967.796	0	0
ENST00000418689	945	788.796	0	0
ENST00000625203	936	779.796	0	0
ENST00000623450	1110	953.796	0	0
ENST00000627256	14829	14672.8	6.15637	0.0215987
ENST00000628539	656	499.822	0	0
ENST00000626903	404	248.696	0	0
ENST00000629229	553	396.89	0	0
ENST00000621433	8003	7846.8	0.591625	0.00388124
ENST00000622207	1030	873.796	0	0
ENST00000623922	939	782.796	0	0
ENST00000570683	948	791.796	0	0
ENST00000624868	1025	868.796	0	0
ENST00000302329	1015	858.796	0	0
ENST00000621713	1240	1083.8	0	0
ENST00000377171	1273	1116.8	0	0
ENST00000625105	951	794.796	0	0
ENST00000625160	1072	915.796	0	0
ENST00000624502	998	841.796	0	0
ENST00000307401	998	841.796	0	0
ENST00000624797	918	761.796	0	0
ENST00000624144	918	761.796	0	0
ENST00000624187	939	782.796	0	0
ENST00000624064	1042	885.796	0	0
ENST00000534447	5330	5173.8	53.6892	0.534187
ENST00000534142	2012	1855.8	0	0
ENST00000533478	5669	5512.8	0	0
ENST00000525539	7379	7222.8	0	0
ENST00000530363	1608	1451.8	3	0.106373
ENST00000299598	5818	5661.8	14.4415	0.131303
ENST00000529079	574	417.87	0	0
ENST00000531391	1488	1331.8	0	0
ENST00000526632	2006	1849.8	0	0
ENST00000527937	4165	4008.8	1.01552	0.0130403
ENST00000529791	552	395.89	0	0
ENST00000614230	7621	7464.8	0	0
ENST00000337114	3427	3270.8	0	0
ENST00000508166	2164	2007.8	0	0
ENST00000503442	1232	1075.8	0	0
ENST00000511446	2018	1861.8	2	0.0552985
ENST00000504802	600	443.87	0	0
ENST00000508264	727	570.796	0	0
ENST00000613293	1233	1076.8	0	0
ENST00000610628	2154	1997.8	0	0
ENST00000627926	12809	12652.8	0.252005	0.00102527
ENST00000630506	656	499.822	0	0
ENST00000630053	404	248.696	0	0
ENST00000626712	553	396.89	0	0
ENST00000619759	8003	7846.8	0	0
ENST00000417143	1956	1799.8	13	0.371823
ENST00000453496	2469	2312.8	10.0205	0.223033
ENST00000623396	1002	845.796	0	0
ENST00000302622	1002	845.796	0	0
ENST00000429239	925	768.796	0	0
ENST00000445557	926	769.796	0	0
ENST00000339924	1608	1451.8	0	0
