target_id	length	eff_length	est_counts	tpm
ENST00000415118	8	9	0	0
ENST00000448914	13	2	0	0
ENST00000434970	9	10	0	0
ENST00000390577	37	15.7143	0	0
ENST00000437320	19	4.33333	0	0
ENST00000450276	17	3.5	0	0
ENST00000390575	20	5.33333	0	0
ENST00000454908	17	3.5	0	0
ENST00000430425	17	3.5	0	0
ENST00000390572	28	9.16667	0	0
ENST00000390583	31	12.1667	0	0
ENST00000454691	18	3.33333	0	0
ENST00000439842	11	12	0	0
ENST00000390591	31	12.1667	0	0
ENST00000604642	23	5.6	0	0
ENST00000603326	19	4.33333	0	0
ENST00000604950	31	12.1667	0	0
ENST00000603077	31	12.1667	0	0
ENST00000605284	17	3.5	0	0
ENST00000604446	23	5.6	0	0
ENST00000603693	19	4.33333	0	0
ENST00000603935	31	12.1667	0	0
ENST00000604102	31	12.1667	0	0
ENST00000604838	17	3.5	0	0
ENST00000451044	17	3.5	0	0
ENST00000390581	23	5.6	0	0
ENST00000390590	31	12.1667	0	0
ENST00000390588	20	5.33333	0	0
ENST00000390584	31	12.1667	0	0
ENST00000452198	18	3.33333	0	0
ENST00000414852	16	5	0	0
ENST00000390585	31	12.1667	0	0
ENST00000390571	31	12.1667	0	0
ENST00000390578	31	12.1667	0	0
ENST00000390567	20	5.33333	0	0
ENST00000431440	16	5	0	0
ENST00000390569	20	5.33333	0	0
ENST00000390574	21	6.33333	0	0
ENST00000390580	21	6.33333	0	0
ENST00000431870	16	5	0	0
ENST00000390389	335	180.231	0	0
ENST00000390374	392	235.186	0	0
ENST00000390375	384	227.417	0	0
ENST00000390432	379	222.519	0	0
ENST00000390433	340	184.964	0	0
ENST00000390434	566	407.629	0	0
ENST00000390435	341	185.955	0	0
ENST00000390376	341	185.955	0	0
ENST00000390377	347	191.594	0	0
ENST00000390436	360	204.019	0	0
ENST00000390378	343	187.814	0	0
ENST00000612787	347	191.594	0	0
ENST00000614171	374	217.651	0	0
ENST00000611462	368	211.79	0	0
ENST00000611787	392	235.186	0	0
ENST00000620569	409	251.881	0	0
ENST00000617347	406	248.968	0	0
ENST00000621184	411	253.868	0	0
ENST00000390437	445	287.252	0	0
ENST00000390438	469	311.03	0	0
ENST00000390442	399	242.066	0	0
ENST00000390453	343	187.814	0	0
ENST00000390454	403	246.03	0	0
ENST00000390443	561	402.65	0	0
ENST00000455382	421	263.649	0	0
ENST00000390387	391	234.244	0	0
ENST00000390357	373	216.651	0	0
ENST00000390381	652	493.609	0	0
ENST00000390439	410	252.868	0	0
ENST00000390399	387	230.337	0	0
ENST00000390400	364	207.906	0	0
ENST00000610416	1054	895.609	0	0
ENST00000379435	416	258.727	1	0.269343
ENST00000390353	401	244.03	0	0
ENST00000390455	537	378.65	0	0
ENST00000547918	380	223.474	0	0
ENST00000390392	455	297.166	0	0
ENST00000390360	365	208.885	0	0
ENST00000390440	425	267.57	0	0
ENST00000390423	402	245.03	0	0
ENST00000390398	381	224.463	0	0
ENST00000617717	933	774.609	0	0
ENST00000612107	930	771.609	0	0
ENST00000390361	397	240.114	0	0
ENST00000390362	343	187.814	0	0
ENST00000390363	390	233.279	0	0
ENST00000390364	412	254.817	0	0
ENST00000422143	402	245.03	3	0.853199
ENST00000390444	329	174.545	0	0
ENST00000390445	484	325.871	0	0
ENST00000390446	440	282.338	0	0
ENST00000390456	341	185.955	0	0
