id,ensembl_gene,symbol,entrez_id,transcript_type
ENST00000379236,ENSG00000186827,TNFRSF4,7293,protein_coding
ENST00000497869,ENSG00000186827,TNFRSF4,7293,retained_intron
ENST00000453580,ENSG00000186827,TNFRSF4,7293,processed_transcript
ENST00000378785,ENSG00000215915,ATAD3C,219293,protein_coding
ENST00000475091,ENSG00000215915,ATAD3C,219293,protein_coding
ENST00000484537,ENSG00000215915,ATAD3C,219293,retained_intron
ENST00000378733,ENSG00000205090,TMEM240,339453,protein_coding
ENST00000425828,ENSG00000205090,TMEM240,339453,protein_coding
ENST00000624426,ENSG00000205090,TMEM240,339453,protein_coding
ENST00000624594,ENSG00000279244,AL645728.1,NA,protein_coding
ENST00000520777,ENSG00000197530,MIB2,142678,protein_coding
ENST00000355826,ENSG00000197530,MIB2,142678,protein_coding
ENST00000518681,ENSG00000197530,MIB2,142678,protein_coding
ENST00000505820,ENSG00000197530,MIB2,142678,protein_coding
ENST00000479659,ENSG00000197530,MIB2,142678,retained_intron
ENST00000489635,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000511502,ENSG00000197530,MIB2,142678,retained_intron
ENST00000477990,ENSG00000197530,MIB2,142678,retained_intron
ENST00000514363,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000487053,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000502470,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000378712,ENSG00000197530,MIB2,142678,protein_coding
ENST00000507082,ENSG00000197530,MIB2,142678,retained_intron
ENST00000463492,ENSG00000197530,MIB2,142678,processed_transcript
ENST00000510793,ENSG00000197530,MIB2,142678,protein_coding
ENST00000504599,ENSG00000197530,MIB2,142678,protein_coding
ENST00000507229,ENSG00000197530,MIB2,142678,retained_intron
ENST00000503789,ENSG00000197530,MIB2,142678,protein_coding
ENST00000378708,ENSG00000197530,MIB2,142678,protein_coding
ENST00000506488,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000512004,ENSG00000197530,MIB2,142678,processed_transcript
ENST00000508455,ENSG00000197530,MIB2,142678,retained_intron
ENST00000514234,ENSG00000197530,MIB2,142678,protein_coding
ENST00000467597,ENSG00000197530,MIB2,142678,retained_intron
ENST00000508148,ENSG00000197530,MIB2,142678,retained_intron
ENST00000486072,ENSG00000197530,MIB2,142678,nonsense_mediated_decay
ENST00000505370,ENSG00000197530,MIB2,142678,retained_intron
ENST00000473511,ENSG00000197530,MIB2,142678,retained_intron
ENST00000464570,ENSG00000197530,MIB2,142678,retained_intron
ENST00000483015,ENSG00000197530,MIB2,142678,protein_coding
