target_id	length	eff_length	est_counts	tpm
ENST00000415118	8	7	0	0
ENST00000448914	13	12	0	0
ENST00000434970	9	8	0	0
ENST00000390577	37	8.3	0	0
ENST00000437320	19	18	0	0
ENST00000450276	17	16	0	0
ENST00000390575	20	19	0	0
ENST00000454908	17	16	0	0
ENST00000430425	17	16	0	0
ENST00000390572	28	11.6667	0	0
ENST00000390583	31	14.6667	0	0
ENST00000454691	18	17	0	0
ENST00000439842	11	10	0	0
ENST00000390591	31	14.6667	0	0
ENST00000604642	23	11.5	0	0
ENST00000603326	19	18	0	0
ENST00000604950	31	14.6667	0	0
ENST00000603077	31	14.6667	0	0
ENST00000605284	17	16	0	0
ENST00000604446	23	11.5	0	0
ENST00000603693	19	18	0	0
ENST00000603935	31	14.6667	0	0
ENST00000604102	31	14.6667	0	0
ENST00000604838	17	16	0	0
ENST00000451044	17	16	0	0
ENST00000390581	23	11.5	0	0
ENST00000390590	31	14.6667	0	0
ENST00000390588	20	19	0	0
ENST00000390584	31	14.6667	0	0
ENST00000452198	18	17	0	0
ENST00000414852	16	15	0	0
ENST00000390585	31	14.6667	0	0
ENST00000390571	31	14.6667	0	0
ENST00000390578	31	14.6667	0	0
ENST00000390567	20	19	0	0
ENST00000431440	16	15	0	0
ENST00000390569	20	19	0	0
ENST00000390574	21	20	0	0
ENST00000390580	21	20	0	0
ENST00000431870	16	15	0	0
ENST00000390389	335	190.945	1	0.635439
ENST00000390374	392	246.991	0	0
ENST00000390375	384	239.081	0	0
ENST00000390432	379	234.151	0	0
ENST00000390433	340	195.873	0	0
ENST00000390434	566	420.65	0	0
ENST00000390435	341	196.859	0	0
ENST00000390376	341	196.859	0	0
ENST00000390377	347	202.702	0	0
ENST00000390436	360	215.408	0	0
ENST00000390378	343	198.815	0	0
ENST00000612787	347	202.702	0	0
ENST00000614171	374	229.211	0	0
ENST00000611462	368	223.278	0	0
ENST00000611787	392	246.991	0	0
ENST00000620569	409	263.851	0	0
ENST00000617347	406	260.851	0	0
ENST00000621184	411	265.812	0	0
ENST00000390437	445	299.717	0	0
ENST00000390438	469	323.706	0	0
ENST00000390442	399	253.889	0	0
ENST00000390453	343	198.815	0	0
ENST00000390454	403	257.87	0	0
ENST00000390443	561	415.65	0	0
ENST00000455382	421	275.792	0	0
ENST00000390387	391	246	0	0
ENST00000390357	373	228.22	0	0
ENST00000390381	652	506.632	0	0
ENST00000390439	410	264.822	0	0
ENST00000390399	387	242.028	0	0
ENST00000390400	364	219.336	0	0
ENST00000610416	1054	908.605	0	0
ENST00000379435	416	270.812	0	0
ENST00000390353	401	255.87	0	0
ENST00000390455	537	391.666	0	0
ENST00000547918	380	235.151	0	0
ENST00000390392	455	309.706	0	0
ENST00000390360	365	220.311	0	0
ENST00000390440	425	279.771	0	0
ENST00000390423	402	256.87	0	0
ENST00000390398	381	236.116	0	0
ENST00000617717	933	787.605	0	0
ENST00000612107	930	784.605	0	0
ENST00000390361	397	251.926	0	0
ENST00000390362	343	198.815	0	0
ENST00000390363	390	245.019	0	0
ENST00000390364	412	266.812	0	0
ENST00000422143	402	256.87	16	7.55769
ENST00000390444	329	185.149	0	0
ENST00000390445	484	338.694	0	0
ENST00000390446	440	294.728	0	0
ENST00000390456	341	196.859	0	0
ENST00000390457	425	279.771	2	0.867382
ENST00000444775	1735	1589.6	0	0
ENST00000390458	469	323.706	5	1.87414
ENST00000557168	337	192.91	14	8.80557
ENST00000390343	468	322.706	0	0
ENST00000426402	544	398.666	0	0
ENST00000390340	463	317.706	0	0
ENST00000390345	688	542.632	0	0
ENST00000613175	2233	2087.6	0	0
ENST00000390344	552	406.666	0	0
ENST00000390348	465	319.706	0	0
ENST00000390341	512	366.694	0	0
ENST00000390346	537	391.666	0	0
ENST00000390367	364	219.336	0	0
ENST00000390463	356	211.479	0	0
ENST00000390467	317	173.53	0	0
ENST00000390461	349	204.649	0	0
ENST00000390466	331	187.1	0	0
ENST00000426318	395	249.964	0	0
ENST00000390464	353	208.565	0	0
ENST00000331828	367	222.278	0	0
ENST00000390469	520	374.68	0	0
ENST00000390441	394	248.973	0	0
ENST00000390447	467	321.706	0	0
ENST00000390448	406	260.851	0	0
ENST00000390465	395	249.964	0	0
ENST00000535880	425	279.771	0	0
ENST00000390460	327	183.204	1	0.662291
ENST00000390468	336	191.938	0	0
ENST00000390368	410	264.822	0	0
ENST00000390369	347	202.702	1	0.598582
ENST00000454561	544	398.666	0	0
ENST00000390371	388	243.019	0	0
ENST00000390372	350	205.604	0	0
ENST00000617639	406	260.851	0	0
ENST00000390373	344	199.807	0	0
ENST00000390449	343	198.815	0	0
ENST00000390450	464	318.706	0	0
ENST00000390451	409	263.851	0	0
ENST00000390452	365	220.311	0	0
ENST00000621643	102	13.5115	0	0
ENST00000417977	447	301.717	0	0
ENST00000616518	421	275.792	0	0
ENST00000620773	347	202.702	0	0
ENST00000619103	344	199.807	0	0
ENST00000611520	428	282.761	0	0
ENST00000390393	552	406.666	0	0
ENST00000390394	413	267.812	0	0
ENST00000542354	392	246.991	0	0
ENST00000390396	347	202.702	0	0
ENST00000390397	381	236.116	0	0
ENST00000390424	348	203.68	0	0
ENST00000390425	519	373.68	0	0
ENST00000390426	395	249.964	0	0
ENST00000390427	352	207.573	0	0
ENST00000390428	404	258.861	0	0
ENST00000390429	337	192.91	0	0
ENST00000390430	473	327.706	0	0
ENST00000390431	338	193.902	0	0
ENST00000607853	1684	1538.6	0	0
ENST00000619390	1504	1358.6	0	0
ENST00000624103	939	793.605	0	0
ENST00000380383	960	814.605	0	0
ENST00000514827	947	801.605	0	0
ENST00000623183	1069	923.605	0	0
ENST00000623508	1033	887.605	0	0
ENST00000573400	939	793.605	0	0
ENST00000618719	692	546.632	1.6213	0.359876
ENST00000629682	1576	1430.6	0	0
ENST00000620741	1738	1592.6	0	0
ENST00000627911	1363	1217.6	0	0
ENST00000625994	573	427.65	0	0
ENST00000628872	564	418.65	0.549977	0.159395
ENST00000617651	1734	1588.6	0	0
ENST00000616376	1504	1358.6	0	0
ENST00000444197	1649	1503.6	0	0
ENST00000622521	1039	893.605	0	0
ENST00000424348	959	813.605	0	0
ENST00000624217	990	844.605	0	0
ENST00000356130	983	837.605	0	0
ENST00000623849	966	820.605	0	0
ENST00000624469	1107	961.605	0	0
ENST00000504970	935	789.605	0	0
ENST00000440231	985	839.605	0	0
ENST00000621991	1256	1110.6	0	0
ENST00000619816	677	531.632	0	0
ENST00000624470	979	833.605	0	0
ENST00000624482	978	832.605	0	0
ENST00000610808	1322	1176.6	0	0
ENST00000611873	1112	966.605	0	0
ENST00000615270	1295	1149.6	0	0
ENST00000435101	692	546.632	1.6213	0.359876
ENST00000358097	1655	1509.6	0	0
ENST00000433992	1740	1594.6	0	0
ENST00000610593	1363	1217.6	10.4095	1.0373
ENST00000424775	573	427.65	0	0
ENST00000435688	564	418.65	0.549977	0.159395
ENST00000614967	1504	1358.6	0	0
ENST00000612115	1734	1588.6	0	0
ENST00000623991	1030	884.605	3.46904	0.47582
ENST00000623813	945	799.605	0.398221	0.0604271
ENST00000623530	995	849.605	0	0
ENST00000624439	957	811.605	0	0
ENST00000439431	979	833.605	2	0.291107
ENST00000623286	975	829.605	0	0
ENST00000623216	975	829.605	0	0
ENST00000623930	945	799.605	0	0
ENST00000623618	945	799.605	0	0
ENST00000613379	1322	1176.6	0	0
ENST00000624801	1124	978.605	0	0
ENST00000408920	1124	978.605	0	0
ENST00000418689	945	799.605	0	0
ENST00000625203	936	790.605	0	0
ENST00000623450	1110	964.605	0	0
ENST00000627256	14829	14683.6	0	0
ENST00000628539	656	510.632	0	0
ENST00000626903	404	258.861	0	0
ENST00000629229	553	407.666	0	0
ENST00000621433	8003	7857.6	7	0.108091
ENST00000622207	1030	884.605	3.46904	0.47582
ENST00000623922	939	793.605	0	0
ENST00000570683	948	802.605	0	0
ENST00000624868	1025	879.605	0	0
ENST00000302329	1015	869.605	0	0
ENST00000621713	1240	1094.6	0	0
ENST00000377171	1273	1127.6	0	0
ENST00000625105	951	805.605	0	0
ENST00000625160	1072	926.605	0	0
ENST00000624502	998	852.605	0	0
ENST00000307401	998	852.605	0	0
ENST00000624797	918	772.605	0	0
ENST00000624144	918	772.605	0	0
ENST00000624187	939	793.605	0	0
ENST00000624064	1042	896.605	0	0
ENST00000534447	5330	5184.6	173.928	4.0704
ENST00000534142	2012	1866.6	27.8519	1.81045
ENST00000533478	5669	5523.6	36.7167	0.806537
ENST00000525539	7379	7233.6	5.92948	0.0994593
ENST00000530363	1608	1462.6	16.5003	1.36883
ENST00000299598	5818	5672.6	154.753	3.3101
ENST00000529079	574	428.65	11.6309	3.29225
ENST00000531391	1488	1342.6	42.7714	3.86534
ENST00000526632	2006	1860.6	0.849259	0.055382
ENST00000527937	4165	4019.6	52.1606	1.5745
ENST00000529791	552	406.666	3.72805	1.11231
ENST00000614230	7621	7475.6	0	0
ENST00000337114	3427	3281.6	0	0
ENST00000508166	2164	2018.6	0	0
ENST00000503442	1232	1086.6	0	0
ENST00000511446	2018	1872.6	2	0.129589
ENST00000504802	600	454.65	0	0
ENST00000508264	727	581.632	0	0
ENST00000613293	1233	1087.6	0	0
ENST00000610628	2154	2008.6	0	0
ENST00000627926	12809	12663.6	0	0
ENST00000630506	656	510.632	0	0
ENST00000630053	404	258.861	0	0
ENST00000626712	553	407.666	0	0
ENST00000619759	8003	7857.6	0	0
ENST00000417143	1956	1810.6	4	0.268052
ENST00000453496	2469	2323.6	18.2671	0.95387
ENST00000623396	1002	856.605	0	0
ENST00000302622	1002	856.605	0	0
ENST00000429239	925	779.605	0	0
ENST00000445557	926	780.605	0	0
ENST00000339924	1608	1462.6	0	0
ENST00000391729	677	531.632	0	0
ENST00000553483	990	844.605	0	0
ENST00000615996	1563	1417.6	0	0
ENST00000623167	981	835.605	0	0
ENST00000625122	981	835.605	0	0
ENST00000402588	735	589.632	0	0
ENST00000621118	1112	966.605	5.89352	0.739791
ENST00000624865	765	619.632	0	0
ENST00000377712	679	533.632	0	0
ENST00000541415	944	798.605	0	0
ENST00000622436	921	775.605	0	0
ENST00000623973	1047	901.605	0	0
ENST00000341959	1047	901.605	0	0
ENST00000394191	931	785.605	0	0
ENST00000623332	978	832.605	0	0
ENST00000623942	978	832.605	0	0
ENST00000616914	1295	1149.6	0	0
ENST00000510471	897	751.605	0	0
ENST00000457194	1984	1838.6	48.8411	3.22314
ENST00000429712	1313	1167.6	0	0
ENST00000493176	545	399.666	14.6147	4.43687
ENST00000420396	1240	1094.6	1.00302	0.111182
ENST00000523857	3818	3672.6	0	0
ENST00000521053	3830	3684.6	0	0
ENST00000430863	4164	4018.6	0	0
ENST00000521161	613	467.65	0	0
ENST00000621837	4164	4018.6	0	0
ENST00000631283	936	790.605	0	0
ENST00000553765	940	794.605	0	0
ENST00000533152	948	802.605	0	0
ENST00000626647	2737	2591.6	0	0
ENST00000564451	2115	1969.6	1.21238	0.0746866
ENST00000567207	1302	1156.6	0	0
ENST00000563927	1523	1377.6	0	0
ENST00000567960	1333	1187.6	0	0
ENST00000623845	939	793.605	0	0
ENST00000623750	939	793.605	0	0
ENST00000613512	1451	1305.6	0	0
ENST00000458137	1166	1020.6	0	0
ENST00000375726	1306	1160.6	0	0
ENST00000447913	819	673.632	0	0
ENST00000446862	1196	1050.6	0	0
ENST00000441710	1168	1022.6	0	0
ENST00000433738	709	563.632	0	0
ENST00000448103	1071	925.605	0	0
ENST00000417998	1401	1255.6	0	0
ENST00000494737	961	815.605	0	0
ENST00000508062	774	628.632	0	0
ENST00000422698	1685	1539.6	0	0
ENST00000619141	900	754.605	0	0
ENST00000621830	677	531.632	0	0
ENST00000606380	541	395.666	1	0.306658
ENST00000616270	1132	986.605	0	0
ENST00000610963	1636	1490.6	0	0
ENST00000624504	1089	943.605	0	0
ENST00000392899	1084	938.605	0	0
ENST00000502411	566	420.65	0	0
ENST00000496692	554	408.666	0	0
ENST00000466542	1070	924.605	0	0
ENST00000465075	769	623.632	0	0
ENST00000473530	1632	1486.6	0	0
ENST00000473712	567	421.65	0	0
ENST00000482226	527	381.68	0	0
ENST00000467903	1101	955.605	0	0
ENST00000507374	553	407.666	0	0
ENST00000508651	542	396.666	0	0
ENST00000611236	958	812.605	0	0
ENST00000543859	1507	1361.6	0	0
ENST00000624978	948	802.605	0	0
ENST00000624198	948	802.605	0	0
ENST00000435756	929	783.605	0	0
ENST00000495672	589	443.65	0	0
ENST00000475169	611	465.65	0	0
ENST00000472159	768	622.632	0	0
ENST00000467490	1742	1596.6	0	0
ENST00000297158	1305	1159.6	0	0
ENST00000478939	1479	1333.6	0	0
ENST00000498734	724	578.632	0	0
ENST00000620812	1791	1645.6	0	0
ENST00000623907	933	787.605	0	0
ENST00000624571	933	787.605	0	0
ENST00000624618	1051	905.605	0	0
ENST00000624877	936	790.605	0	0
ENST00000624596	1026	880.605	0	0
ENST00000302969	1026	880.605	0	0
ENST00000579578	1482	1336.6	0	0
ENST00000586762	590	444.65	0	0
ENST00000588823	622	476.65	0	0
ENST00000611850	1407	1261.6	0	0
ENST00000591655	1456	1310.6	0	0
ENST00000574062	1655	1509.6	0	0
ENST00000575319	1738	1592.6	0	0
ENST00000576465	573	427.65	0	0
ENST00000573762	564	418.65	0.549977	0.159395
ENST00000614621	1504	1358.6	1.66308e-06	1.48526e-07
ENST00000612408	1657	1511.6	0	0
ENST00000619036	1734	1588.6	9.05713	0.691764
ENST00000625231	1030	884.605	3.46904	0.47582
ENST00000629539	945	799.605	0.398221	0.0604271
ENST00000466254	758	612.632	0	0
ENST00000613761	936	790.605	0	0
ENST00000610566	948	802.605	0	0
ENST00000610847	945	799.605	0	0
ENST00000616837	942	796.605	0	0
ENST00000610547	1060	914.605	0	0
